Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
3-Apr-10,Dyeing Dart Frogs,Rochambeau airport,"Cayenne, French Guiana",,,,,44,,,Unknown,intelligence,,"""A traveler arrested at Rochambeau airport. He carried with him protected frogs.""; suspect is a German citizen of Greek origin and was monitored for ""a few days""; frogs from Amazon basin; the frogs are colorful and toxic; suspect was arrested",http://archives-lepost.huffingtonpost.fr/article/2010/04/05/2019923_saisie-de-grenouilles-vivantes-par-les-douanes-de-guyane.html; http://www.30millionsdamis.fr/actualites/article/1768-saisie-de-grenouilles-toxiques-et-protegees-en-guyane/,,,,,,,,,,,,,,,,,,,
14-May-10,Spur-Thighed Tortoises,Edmonton Airport,"Edmonton, Canada",United Kingdom,,"Edmonton, Canada",,3,,,Luggage,canine,cardboard boxes,Spur-thighed Tortoises (CITES II) found with prohibited plant material and food,TRAFFIC Bulletin 1997 - 2016; http://www.cbc.ca/news/canada/edmonton/tortoises-in-suitcases-seized-at-edmonton-airport-1.933883,,,,,,,,,,,,,,,,,,,
23-May-10,Indian Star Tortoises,Hazrat Shahjalal Airport,"Dhaka, Bangladesh","Chennai, India","Dhaka, Bangladesh",Malaysia,,480,Malaysia Airlines,,Luggage,,,"Indian Star Tortoises (CITES II). One Malaysia-bound Indian national arrested. One source says seizure occurred on May 30, rather than May 24",TRAFFIC Bulletin 1997 - 2016; http://www.ifaw.org/united-states/news/seizure-indian-airport-results-rescue; http://bdnews24.com/bangladesh/2010/05/24/indian-held-with-480-rare-turtles; Omega 12,,,,,,,,,,,,,,,,,,,
1-Jun-10,Radiated Tortoises; Kapikas; ploughshare tortoises; spider tortoises,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia",Madagascar,,"Kuala Lumpur, Malaysia",,300,Air Mauritius,,Luggage,,,"The animals were locked in two bags, which also contained drugs; 285 radiated tortoises, 14 kapika turltes, the pyxis arachnoid tortoises, angonoka tortule and a ploughshare tortoises (very rare); turtles are alive and were looking at being repatriated back to Madagascar; the three species of turtles are in Appendix I of CITES",http://mg.chm-cbd.net/news/trafic-de-tortues-de-madagascar,,,,,,,,,,,,,,,,,,,
1-Jul-10,radiated tortoises; ploughshare tortoises; tomato frogs,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia",Madagascar,,,,415,,,Luggage,,,"Four hundred Radiated Tortoises (CITES I), 11 Spider Tortoises, and four Ploughshare Tortoises. Two women were arrested and sentenced to a year in prison",TRAFFIC Bulletin 1997 - 2016; http://www.bbc.com/news/world-asia-pacific-10674741; http://www.livescience.com/11063-case-missing-tortoises-returned-madagascar.html,,,,,,,,,,,,,,,,,,,
8/??/2010,Indian Star Tortoises; Pig-Nosed Turtles; White-Front Box Turtles,Honolulu Airport,"Honolulu, USA","Osaka, Japan",,"Honolulu, USA",,42,,,Luggage,intelligence,,"Indian Star Tortoises (CITES II), White-front Box turtles (CITES I), Pig-Nosed Turtles (CITES II). One arrest and conviction. The trafficker claimed that he was paid by Atsushi Yamagami. This seizure spawned 'Operation Flying Turtle' by the U.S. Fish and Wildlife Service to catch Yamagami and his smuggling ring.",https://www.justice.gov/sites/default/files/enrd/legacy/2015/04/13/October_2010.pdf ; http://www.mercurynews.com/ci_20515148/business-special-reports,,,,,,,,,,,,,,,,,,,
26-Aug-10,Boa Constrictors,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Penang, Malaysia","Kuala Lumpur, Malaysia","Jakarta, Indonesia",,95,,,Luggage,Snakes got out,,"The snakes got out of the luggage and were crawling on the carousel; suspect was Keng Liang Wong and he was arrested, not his first time trafficking as he has already served a sentence of 6 years in prison after being arrested in 1998 for smuggling protected reptile species; suspect nicknamed ""Lizard King""",http://www.journaldequebec.com/2010/09/03/serpents-a-bord-une-histoire-pas-si-loin-de-la-realite; http://archives-lepost.huffingtonpost.fr/article/2010/09/14/2221243_le-trafiquant-de-reptiles-condamne-mais.html; https://www.theguardian.com/environment/2010/sep/03/smuggler-boa-constrictors,,,,,,,,,,,,,,,,,,,
28-Sep-10,Indian Star Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand",India,Bangladesh,"Bangkok, Thailand",,1140,,,Luggage,,,Indian Star Tortoises (CITES II) in four suitcases. Believed to have been destined for Bangkok's Chatuchak weekend market. One arrest-potentiallly a Pakistani national.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
11-Oct-10,Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,"Nairobi, Kenya","Bangkok, Thailand",,218,Kenya Airlines,,Luggage,,,217 Radiated Tortoises and one Ploughshare found in two suitcases (all CITES I) on baggage claim,https://www.terresacree.org/actualites/1643/actualite-des-tortues-en-danger-de-disparition-saisies-en-thailande-47979?filtre=recherche,,,,,,,,,,,,,,,,,,,
2-Dec-10,Reticulated Pythons; blood pythons,Abu Dhabi Airport,"Abu Dhabi, UAE",Indonesia,"Abu Dhabi, UAE","Abu Dhabi, UAE",,4,Etihad Airlines,,Luggage,,,"Additionally, 2 parrots and a squirrel were found with the snakes. Indonesian officials suspect assistance from airport security in Jakarta.",http://www.homelandsecuritynewswire.com/smuggled-snakes-expose-flaws-indonesian-airport-security,,,,,,,,,,,,,,,,,,,
