Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
1-Apr-12,Mississippi Alligator,Dubai Airport,"Dubai, UAE",USA,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
17-Apr-12,Indian Star Tortoises; Three-Keeled Turtles; Indian Roofed Turtles,Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh","Bangkok, Thailand",,415,,,Luggage,intelligence,,"Two Indians arrested with 300 Indian Star Tortoises (CITES II), 90 Three-Keeled Turtles, and 25 Indian Roofed Turtles. 115 different turtles allegedly found in two suitcases. 7 species total (Indian Star Tortoises, black turtle, tricarinate hill turtle, spotted pond turtle, crowned turtle, Sylheti roofed turtle and brown roofed turtle), potentially plus three-keeled turtles and Indian roofed turtles? Source is inconsistent. Tapan Kumar Dey, forest conservator at Wildlife Management and Nature Conservation Division, warned authorities about smuggling attempt.",Omega 12; http://www.thedailystar.net/news-detail-230640,,,,,,,,,,,,,,,,,,,
23-Apr-12,Chameleons; Frogs; Snakes,Zaventem Airport,"Brussels, Netherlands",Burundi,"Brussels, Netherlands",Czech Republic,,284,,,Airfreight,Cases were poorly sealed,Cases,"112 chameleons, 72 snakes and 100 frogs; 3 of the snakes were very venomous; didn't say which CITES was violated",http://www.sudinfo.be/400338/article/fun/insolite/2012-04-27/des-centaines-de-serpents-grenouilles-et-cameleons-saisis-a-l%E2%80%99aeroport-de-zavent,,,,,,,,,,,,,,,,,,,
1-May-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-May-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,4,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-May-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,2,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-May-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
7-May-12,Indian Star Tortoises,Bengaluru Airport,"Bangalore, India","Bangalore, India",,"Bangkok, Thailand",,483,Thai Airways,,Luggage,,,Indian Star Tortoises are CITES II. Concealed in gunny bags in the carry on. An Indian national was arrested. ,TRAFFIC Bulletin 1997 - 2016; http://www.deccanherald.com/content/247765/483-star-tortoises-seized-bia.html,,,,,,,,,,,,,,,,,,,
9-May-12,Lizards,Munich Airport,"Munich, Germany",Oman,,,,49,,,Luggage,,,"Man said that the lizards were ""for cooking""; to prove his good faith, the young man ""was even prepared to tear the head with his teeth of the a spiny-tailed lizards before the agents""; man fined 1000 euros",http://www.gentside.com/animal/la-douane-l-039-arrete-en-possession-de-lezards-il-propose-d-039-en-manger-devant-eux_art40332.html,,,,,,,,,,,,,,,,,,,
28-Jun-12,Indian Star Tortoises,Tiruchirappali Airport,"Chennai, India","Chennai, India","Colombo, Sri Lanka","Kuala Lumpur, Malaysia",,295,Sri Lankan Airlines,UL 132,Luggage,Airline security,Six cloth bags of 50 tortoises each within a stroller bag,"Indian Star Tortoises (CITES II) packaged in six cloth bags of 50 tortoises each within a stroller bag. Mohammad Rafiyudin tried to check-in on Sri Lanka Airlines flight UL132. Rafiyudin had arrived at the airport at 6:45 for a 9:45 flight -- a source suspected that he may have had an agreement with low-tier officials at the airport, and had come to check in early as a result. Rafiyudin and his accomplices had initially tried to transport creatures through Chennai, but changed their minds ""as security was considered impenetrable"". The tortoises were moved to Trichy by road, at which point Rafiyudin was to fly the tortoises from India to Kuala Lumpur via Colombo. Air ""intelligence sources"" had a vague idea that contraband would be checked in to Trichy airport, but had no other knowledge. They increased regular surveillance in anticipation regardless. Separately, airline security found the packages suspicious, and ""soon it was referred to the Customs at the intervention of the Air Intelligence"". Rafiyudin was arrested and charged. More reliable sources name the arrested individual as Ahamed Sirajudeen (47) from Chennai.  ",Omega 12; http://articles.timesofindia.indiatimes.com/2012-06-29/madurai/32471569_1_star-tortoises-trichy-airport-air-intelligence; http://www.ndtv.com/article/south/295-star-tortoises-seized-from-man-at-tamil-nadu-airport-237697; PHOTO -- http://www.thehindu.com/news/cities/Tiruchirapalli/star-tortoises-seized-from-malaysiabound-passenger/article3582043.ece,,,,,,,,,,,,,,,,,,,
1-Jul-12,Chameleons,Dubai Airport,"Dubai, UAE",Egypt,,"Dubai, UAE",,303,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Jul-12,Spur-Thighed Tortoise,Dubai Airport,"Dubai, UAE",Morocco,,"Abu Dhabi, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Jul-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Abu Dhabi, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Jul-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Abu Dhabi, UAE",,2,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
8-Jul-12,Galapagos Land Iguanas,Baltra Island Airport,"Galapagos, Ecuador",,,,,4,,,Luggage,X-ray ; Detector Dog,,Galapagos Land Iguanas are CITES II. A German national was arrested and eventually sentenced,TRAFFIC Bulletin 1997 - 2016; http://www.cnhtours.com/news/2012/8/10/german-tourist-arrested-for-trafficking-land-iguanas/,,,,,,,,,,,,,,,,,,,
11-Jul-12,Pythons ,Suvarnabhumi Airport,"Bangkok, Thailand",,,Kuwait ,,11,,,Luggage,,,"According to a Customs officer, these animals were going to be sold as pets",http://www.code-animal.com/des-reptiles-et-des-primates-saisis-a-laeroport-de-bangkok/; http://newsinfo.inquirer.net/227459/snakes-baby-monkey-seized-at-bangkok-airport,,,,,,,,,,,,,,,,,,,
1-Aug-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Russia,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Aug-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Senegal,,"Dubai, UAE",,15,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
7-Aug-12,Tricarinate Hill Turtles,Shahjalal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,"Bangkok, Thailand",,108,Bangkok Airways,PG 746,Luggage,Tip off,Wrapped in scotch tape,"Tricarinate Hill Turtles(CITES I) discovered packed in two suitcases. Two men, one Indian and one Bangladeshi were arrested. Authorities were tipped off. The two men were arrested around 12:45 am as they were trying to board PG 746 (Bangkok Airways, flies from Dhaka to Bangkok). After the arrest, their luggage was searched, and 50 and 58 turtles were found wrapped in scotch tape in two bags. The luggage tags beared the name of an ""Afsana"" and listed her cellphone number. Officials found that a Civil Aviation Authority of Bangladesh (CAAB) security operator and assistant commissioner of Customs that were on duty at the airport had spoken to Afsana over her cellphone -- likely corruption. Police filed a case against the two men, the CAAB security operator, and the Customs assistant commissioner",TRAFFIC Bulletin 1997 - 2016; http://www.business-standard.com/article/pti-stories/indian-arrested-in-bangladesh-for-smuggling-108-turtles-112080700644_1.html ; http://www.business-standard.com/generalnews/news/indian-arrested-in-bangladesh-for-smuggling-108-turtles/41699/; Omega 12; http://www.asianturtleprogram.org/pages/turtle-bulletin/41Bulletin_12Aug12/Bulletin_41_12th_Aug12.htm; http://www.sareptiles.co.za/forum/viewtopic.php?f=19&t=29179,,,,,,,,,,,,,,,,,,,
19-Aug-12,Ball Pythons; Color Morph Corn Snakes; Boa Constrictors,Orlando Airport,"Orlando, USA","Orlando, USA",,Brazil,,27,,,Luggage,,,"Ball python (CITES II), 7 Boa Constrictors (CITES I), 19 Color morph corn snakes. Purchased at the National Reptile Breeders Expo in Daytona in August 2012. Snakes were hidden in stereo speakers checked as baggage. Snakes were inteded for use as commercial breeders. One arrest and conviction.",https://www.fws.gov/southeast/news/2012/043.html,,,,,,,,,,,,,,,,,,,
27-Aug-12,Indian Star Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand","Kolkata, India",,"Bangkok, Thailand",,890,Thai Airways,,Luggage,Tip off,Hidden in pillow cases and a suitcase,Indian Star Tortoises are CITES II. An Indian national was arrested. The tortoises were discovered after a tip.,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2012/8/29/almost-900-star-tortoises-seized-in-thailand.html; Omega 12; http://www.nature-news-network.org/almost-900-star-tortoises-seized-in-thailand.html; http://annamiticus.com/2012/09/05/thailand-890-baby-tortoises-confiscated-smuggler-arrested/,,,,,,,,,,,,,,,,,,,
29-Aug-12,Indian Star Tortoises; tortoises,Chatrapati Shivaji Airport,"Mumbai, India","Bangkok, Thailand",,"Mumbai, India",,10,Thai Airways,,Passenger - Clothing/Items,Airport security,Concealed in underwear,"Air Intelligence Unit of Mumbai Customs officials frisked three men in Mumbai and found that one was wearing two pairs of underwear. He had stashed 10 turtles in between the layers of underwear. Some of the turtles were star turtles. Officials also found that all three were also carrying two Persian cats (six total), ""three Tarantula spiders (known to be extremely poisonous), 11 eggs of unknown birds, and pigeon and fish foods from the trio's bags"". They were fined Rs. 1.85 lakh and ""sent back"". Faizan Khan, who was caught with the turtles, allegedly told police he paid between Rs5,000 and Rs10,000 per pair for the turtles. Khan has a shop in Musfir Khana, Mumbai where he sells rare wildlife. Sheikh Naushad Mus planned to sell the Persian cats for Rs50,000. Mus allegedly purchased them in Bangkok for Rs20,000 each. Mus has a farm in Pune where he trades rare species. Khan, Mus, and Sheikh Nadir Ahmed are all Indian nationals. Customs officials reported that Ahmed was paid Rs10,000 and was given free tickets by Mus for his help. Mus and Khan apparently traveled to Bankok three times in 2012.",Omega 12; http://www.hindustantimes.com/India-news/Mumbai/Man-caught-with-10-turtles-in-underwear-at-city-airport/Article1-924736.aspx; http://www.hindustantimes.com/mumbai/man-caught-with-10-turtles-in-underwear-at-city-airport/story-KWKQMOWnpooBSw7KXczZWM.html; http://www.hindustantimes.com/mumbai/smugglers-of-turtles-hoped-for-big-profits/story-kbs1D5fN0hbjgB54JloOuO.html,,,,,,,,,,,,,,,,,,,
1-Oct-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
9-Oct-12,Turtles,New Delhi Airport,"New Delhi, India","Bangkok, Thailand","New Delhi, India","Dubai, UAE",,12,,,Passenger - Clothing/Items,suspect was a stowaway,Concealed in underwear,"Thai national, along with two accomplices was arrested as he prepared to board a plane to Dubai; was a stowaway. He also had a loris and a lemur in his underwear. Another loris was found in the trash; ""they left because they could not carry it"" said a Customs agent. Names: Hamad Al-Dhaheri, Mohammed Al-Shamsi, and Rashid Al-Shamsi; were all arrested",http://www.rtl.fr/actu/international/inde-des-douaniers-trouvent-un-lemurien-et-dix-tortues-caches-dans-les-slips-de-trafiquants-7752313795,,,,,,,,,,,,,,,,,,,
10-Oct-12,Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Bangkok, Thailand","Guangzhou, China",,569,Air Madagascar,,Luggage,Tip-off,In bags in suitcases,"569 or 570 baby Radiated Turtles (CITES I) were seized after a tip-off and two Indo-Pakistanis were arrested. The turtles were found in four suitcases. Three babies had already died and 10 were in poor condition. The passengers were on an Air Madagascar flight to ""Bangkok, Thailand and Guangzhou, China"". The two suspects were known locally as the ""Karana"". ",http://tortues-actions.naturalforum.net/t18823-contrebande-malgache ; http://www.turtlesurvival.org/blog/1-blog/196-569-radiated-tortoises-seized-at-airport-in-madagascar#.V4siJJMrJE4,,,,,,,,,,,,,,,,,,,
22-Oct-12,Crocodiles,Roissy Airport,"Paris, France",,,"Paris, France",100s,,,,Luggage,,,"Several hundred kilos of Bush meat seized, including antelope, pangolin, monkey, and crocodile; discovered in passenger luggage arriving from ""Africa"" by a morning flight; Customs operation lasted four hours; the Bushmeat was hidden at the bottom of the bags and suitcases; Bushmeat destined fro the African market Chateau-Rouge in Paris",http://www.leparisien.fr/val-d-oise-95/saisie-de-viande-de-brousse-a-roissy-23-10-2012-2258457.php http://www.metronews.fr/paris/de-la-viande-de-pangolin-et-de-crocodile-saisie-a-roissy/mljw!aipLnSLtLpGA/,,,,,,,,,,,,,,,,,,,
30-Oct-12,Three-Keeled Pond Turtles; Indian Pond Tortoises,Chatrapati Shivaji Airport,"Mumbai, India","Chennai, India","Mumbai, India","Bangkok, Thailand",,57,Thai Airways,,Luggage,"Security stopped them due to ""suspicious behavior""",Wrapped in clothes,"Air Intelligence Unit of Mumbai Customs seized 47 Three-Keeled Pond Turtles (CITES III and IUCN Endangered List) and 10 Indian Pond Tortoises (CITES I) in the bags of Abdul Razzak Bashir Ahmad (55) and Ambur Mushtaquin (25). The suspects told the AIU that they were given the bags by someone outside the Chennai airport. Officials discovered that Ahmad made 8 trips to Bangkok this year, while Mushtaquin has made seven.",Omega 12; http://www.afternoondc.in/city-news/57-turtles-rescued-in-the-nick-of-time/article_68234,,,,,,,,,,,,,,,,,,,
1-Nov-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Nov-12,African Spurred Tortoise,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Nov-12,Spur-Thighed Tortoises,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
19-Nov-12,Turtles,Val-de-Cans Airport,"Belem, Brazil",,,"Belem, Brazil",,10,TAM Airlines,JJ3870,Luggage,,Hidden under beef pieces,The turtles (unnamed) were listed as CITES II. The turtles were de-shelled and headless and packed with the beef in a styrofoam container. The passenger bringing them in fled. but was eventually caught and arrested.,http://www.ibama.gov.br/publicadas/ibama-encontra-carne-de-tartaruga-na-bagagem-de-passageiro-no-aeroporto-internacional-de-belem,,,,,,,,,,,,,,,,,,,
5-Nov-12,Shila Turtles; Kali Turtles; Star Turtles,Shahjalal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,,,73,,,Luggage,Scanner,Four cloth sacks,"Shila Turtles (aka Tricarinate Hill Turtles, CITES I), Star Turtles (CITES II), and Kali Turtles (aka Black Pond Turtles, CITES I). The turtles were on their way to either Thailand or Singapore. Airport security discovered suspicious objects in luggage that was being scanned at Gate No. 3 aroung 11:00 am. Personnel asked the owner of the luggage to open the bag, but he said he had left the key outside and ran. Armed Police Battalion (APBn) chased him, but he was able to get on a ""microbus"". Officers got the bus to stop, but the man managed to get off and run. Officials arrested three people (Mohammad Yeasin, Mohammad Sabuj, and Mohammad Sohagh) from the bus, all of whom denied involvement in the smuggling attempt.  ",Omega 12; http://www.asianturtleprogram.org/pages/turtle-bulletin/54_Bulletin_11Nov12/Bulletin54_11Nov12.htm; http://www.thedailystar.net/news-detail-256424,,,,,,,,,,,,,,,,,,,
1-Dec-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Dec-12,Nile Crocodiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Dec-12,African Rock Pythons,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
11-Dec-12,Snakes; chameleons,Entebbe Airport,"Entebbe, Uganda",,,,,199,,,Unknown,,,,Confidential - Grey Crane,,,,,,,,,,,,,,,,,,,
7-Feb-13,Snakes,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand","Hong Kong, China",China,,2000,,,Airfreight,,,"Various species of snake were shipped to Hong Kong in 203 boxes labeled as fruit, and were returned by Hong Kong authorities after discovery.",TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
7-Feb-13,Oriental Rattlesnakes; monocled cobras,Suvarnabhumi Airport,"Bangkok, Thailand",,,,,163,BFS Cargo,,Airfreight,,,"5 oriental rattlesnakes, 158 monocled cobras",https://cites.org/sites/default/files/reports/13-14Thailand.pdf,,,,,,,,,,,,,,,,,,,
10-Feb-13,Fresh Water Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,27,,,Luggage,,,"H. Shamsudeen (47) and M. Mohammed Younis (67) were arrested trying to smuggle 27 fresh water tortoises out of India to Bangkok. Officials found them suspicious and stopped them before getting on their flight. 27 tortoises were found packed in their luggage, and because they did not have any authorization or clearance papers, they were arrested. One of the smugglers claimed that they had been in the textile business for 10 years, and would develop relationships with people who they would move packages for. Once a relationship was established, they would not under any circumstances check or open the package. They were allegedly offered 3000 baht to deliver the luggage to a black-shirted person waiting for them in Bangkok. They said they had been doing business in Malaysia and Bangkok.",Omega 12; http://chennaionline.com/City360/City-Feature/20131711021710/Tortoise-smugglers-arrested-at-airport.col,,,,,,,,,,,,,,,,,,,
1-Mar-13,Pythons; monitor lizards,,Netherlands,Indonesia,,Netherlands,,379,,,Unknown,,,Python (CITES I/II) and Monitor Lizard (CITES II),https://cites.org/sites/default/files/eng/com/sc/65/Inf/E-SC65-Inf-15.pdf,,,,,,,,,,,,,,,,,,,
1-Mar-13,Hawksbill Turtle Scutes,Changi Airport,Singapore,,,Singapore,60,,,,Luggage,,,The Hawksbill scutes were found in two suitcases brought in by two travellers. One arrest.,https://cites.org/sites/default/files/eng/com/ac/27/E-AC27-26-02.pdf,,,,,,,,,,,,,,,,,,,
1-Mar-13,Argentine Tegus,,Spain,Argentina,,Spain,,2900,,,Unknown,,,Argentine Teju (CITES II),https://cites.org/sites/default/files/eng/com/sc/65/Inf/E-SC65-Inf-15.pdf,,,,,,,,,,,,,,,,,,,
9-Mar-13,Three-Keeled Turtles; Indian Spotted Turtles; Tortoises,Chatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Bangkok, Thailand",,97,Thai Airways,TG 318,Luggage,Scanner,Wrapped in cloth and stuffed in a bag,"A security official with Mumbai International Airport Pvt Ltd noticed an object resembling a turtle while screening a checked bag at the airport. When he opened the bag, he found 97 turtles of different sizes wrapped in cloth and stuffed in a bag. The owner of the bag, Mohammed Arif (22), had already boarded flight TG 318 to Bangkok, but he was removed from the plane. Arif revealed that his friend Nasir gave him the bag. He claimed he had been paid $300 to take it to Bangkok",Omega 12,,,,,,,,,,,,,,,,,,,
15-Mar-13,Ploughshare Tortoises; Radiated Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,"Nairobi, Kenya","Bangkok, Thailand",,75,,,Luggage,,,Ploughshare tortoises and Radiated Tortoises are both CITES I. The tortoises were registered to a woman but found in the possession of a Thai man previously arrested for wildlife trafficking. Royal Thai Customs authorities found him attempting to collect the bag containing the tortoises. Clara Rahantamalala (25) and O Visarnkol (38) were arrested.,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2013/3/19/largest-seizure-of-critically-endangered-ploughshare-tortois.html,,,,,,,,,,,,,,,,,,,
15-Mar-13,Indian Star Tortoises; Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Bangkok, Thailand",,310,,,Luggage,,,Indian Star Tortoises (CITES II) and Black Pond turtles (CITES I) were found in an unclaimed suitcase on the luggage carousel. ,http://www.traffic.org/home/2013/3/19/largest-seizure-of-critically-endangered-ploughshare-tortois.html,,,,,,,,,,,,,,,,,,,
15-Mar-13,Pig-Nosed Turtles,Soekarno Hatta Airport,"Jakarta, Indonesia","Papua, Indonesia","Jakarta, Indonesia",,,687,,,Airfreight,,,Pig-nosed Turtles (CITES I).,http://www.news.com.au/travel/travel-updates/indonesia-siezes-700-endangered-pig-nosed-turtles-at-airport/story-e6frfq80-1226610547780,,,,,,,,,,,,,,,,,,,
26-Mar-13,Red-Eared Slider Turtles,Chennai Airport,"Chennai, India",China,"Kuala Lumpur, Malaysia","Chennai, India",,9000,,,Luggage,,,"The turtles were discovered in three plastic bags in the passenger's luggage as he attempted to exit Customs. The Indian passenger was fined. The indian government sent the turtles to a private clinic, where all but 800 died.",http://timesofindia.indiatimes.com/city/chennai/9K-baby-tortoises-from-China-seized-at-airport/articleshow/19233807.cms ; http://www.thehindu.com/news/cities/chennai/over-8000-captive-baby-tortoises-die/article4559180.ece,,,,,,,,,,,,,,,,,,,
17-Apr-13,Snakes,Chennai Airport,"Chennai, India","Bangkok, Thailand",,"Chennai, India",,6,,,Luggage,,,"2 Asian reticulated pythons(CITES II), 2 Green tree pythons (CITES II), 2 blue malaysian coral snakes, 4 flying squirrels. Pythons were packed in plastic boxes with airholes. coral snakes were in cardboard boxes with grass. One arrest",http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf,,,,,,,,,,,,,,,,,,,
23-Apr-13,Black Pond Turtles,Islamabad Benazir Bhutto Airport,"Islamabad, Pakistan","Islamabad, Pakistan",,"Bangkok, Thailand",,320,,,Luggage,,,"320 Black Spotted Turtles (CITES I). Turtles were concealed in clothing in passenger's bag. Another source said the turtles were ""packed in a carton"". Ahmed Faraz was arrested.",http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf ; Omega 12,,,,,,,,,,,,,,,,,,,
27-Apr-13,Tortoises,Chatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Hong Kong, China",,385,Cathay Pacific,,Luggage,Scanner,,A Mumbai International Airport Pvt Ltd (MIAL) official scanning a checked bag noticed suspicious objects inside the bag. The official opened the bag and found 385 tortoises inside. The Chinese national who owned the bag was arrested before she was able to board her Cathay Pacific flight to Hong Kong. The woman claimed the bag was handed to her by a friend in Mumbai.,Omega 12; http://epaper.timesofindia.com/Default/Scripting/ArticleWin.asp?From=Archive&Source=Page&Skin=TOINEW&BaseHref=TOIM/2013/04/28&PageLabel=7&EntityId=Ar00703&ViewMode=HTML,,,,,,,,,,,,,,,,,,,
30-Apr-13,Indian Star Tortoises,Netaji Subhas Chandra Bose Airport,"Kolkata, India","Kolkata, India",,"Chennai, India",,21,Spice Jet,,Airfreight,Airport police approached the suspects as a result of their suspicious behavior,Inside white packets in a sack,"Indian Star Tortoises (CITES II). All tortoises were alive. Two arrests. The suspects were also found with ornamental fish. Police on patrol at the airport became suspicious when they saw two men walking towards the cargo complex with a sack around 4 am. When the men weren't able to answer their questions, the officers took them to the NSCBI airport police station, where they opened the sack. The officers found goldfish in plastic bags and white packets containing 21 star tortoises (6 female, 15 male). The suspects, Tapas Basak and Md Irfan said they were supposed to be shipped on a Spice Jet flight to Chennai.",http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf; http://articles.timesofindia.indiatimes.com/2013-05-01/kolkata/38956482_1_tortoises-kolkata-airport-wild-life-protection-act,,,,,,,,,,,,,,,,,,,
17-May-13,Turtles; Frogs; Chameleons,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Bangkok, Thailand",,79,,,Luggage,Routine check,,"Carrying out a routine check, 40 turtles, 39 chameleons and an unknown number of frogs were about to be shipped; found during a routine check; tried to find owner of luggage but couldn't--all passengers were already on board, so the suspect likely got away",http://fr.allafrica.com/stories/201305210674.html,,,,,,,,,,,,,,,,,,,
23-May-13,Utila Spiny-Tailed Iguanas; Horned Lizards; Desert Tortoises; Spotted Box Turtles,Mexico City Airport,"Mexico City, Mexico","Mexico City, Mexico",,Japan,,103,,,Luggage,,,"7 utila spiny-tailed iguana (CITES II), 6 spotted box turtles (CITES II), 19 desert tortoises (CITES II), 4 horned lizards. Japanese citizen was arrested. Shipment was detected because she had a previous trafficking arrest.",http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf,,,,,,,,,,,,,,,,,,,
18-Jul-13,Red-Eared Slider Turtles,Netaji Subhas Chandra Bose Airport,"Kolkata, India","Guangzhou, China",Singapore,"Kolkata, India",,10043,,,Luggage,Passenger suspected the bags,,"Two smugglers based in Chennai, India were caught. The red-eared sliders (native to the Americas) were in three bags, and were smuggled from China to India via Singapore. A passenger noticed a cross on one of the bags when the bags were on a conveyor belt and informed Customs officials. Red-eared sliders are not a protected or endangered species, but they are an invasive species, and as such are prohibited in some European countries and Australia.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_2.pdf; http://www.indianexpress.com/news/10000-turtles-seized-at-airport/1143866/; http://timesofindia.indiatimes.com/city/kolkata/Turtle-that-inspired-Ninja-cartoon-smuggled-as-pet/articleshow/21178481.cms?referral=PM,,,,,,,,,,,,,,,,,,,
19-Aug-13,Reptiles,Zaventem Airport,"Brussels, Belgium",Togo,,"Brussels, Belgium",,174,,,Unknown,,,"20 Rock Monitors (CITES II), 22 senegalese chameleons (CITES II), crested chameleon (CITES II), graceful chameleon (CITES II), 34 Bell's hinged tortoises (CITES II), 98 Home's hinge-back tortoise (CITES II). The consignment was hidden with a shipment of 526 lizards that were legal for import.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_2.pdf,,,,,,,,,,,,,,,,,,,
1-Aug-13,Morelet'S Crocodiles,Manuel Crescencio Rejon Airport,"Merida, Mexico","Villahermosa, Mexico",,"Merida, Mexico",,28,,,Unknown,,,,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_2.pdf,,,,,,,,,,,,,,,,,,,
1-Sep-13,Red-Eyed Leaf Frogs,,Netherlands,Nicaragua,,Netherlands,,600,,,Airfreight,,,Red-eyed Leaf frogs (CITES II),https://cites.org/sites/default/files/eng/com/sc/65/Inf/E-SC65-Inf-15.pdf,,,,,,,,,,,,,,,,,,,
1-Sep-13,Nile Crocodiles,Göteborg Landvetter Airport,"Gothenberg, Sweden",,,,,1,,,Unknown,,,Swedish barber had thought the young crocodile was a monitor lizard,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_2.pdf,,,,,,,,,,,,,,,,,,,
22-Sep-13,Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Bangkok, Thailand",,220,,,Luggage,,,"Black pond turtles (CITES I). Found in 3 unclaimed, unaddressed bags.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_2.pdf,,,,,,,,,,,,,,,,,,,
