Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
5/3/2010,Peregrine Falcon eggs,Birmingham Airport,"Birmingham, United Kingdom","Birmingham, United Kingdom",,"Dubai, UAE",,14,,Passenger Clothing/Items,,,CITES I. One suspect (repeat offender) arrested with eggs strapped to him under his socks,TRAFFIC Bulletin 1997 - 2016; http://www.birminghampost.co.uk/news/local-news/man-jailed-trying-smuggle-peregrine-3928774 ,,,,,,,,,,,,,,,,,,,,
5/9/2010,Hummingbirds,Rochambeau Airport,"Cayenne, French Guiana","Cayenne, French Guiana",,,,16,,Passenger Clothing/Items,,,The birds were wrapped in cloth and placed in pouches in the front of the Dutch passenger's pants. He had been previously arresed for wildlife smuggling attempt. This story surfaced on news outlets more than a year later in the Daily Mail and others here: http://www.dailymail.co.uk/news/article-2042474/Traveller-arrested-trying-smuggle-live-HUMMINGBIRDS-special-pouches-sewn-pants.html,https://finchwench.wordpress.com/2011/09/19/hummerbummer/,,,,,,,,,,,,,,,,,,,,
6/7/2010,Pigeon eggs,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,72,,Luggage,,,Eggs were wrapped in cotton with source and parentage written on top. Likely intended for sale at a pet shop. Two suspects pled guilty.,http://articles.sun-sentinel.com/2010-12-23/news/fl-pigeon-eggs-seized-20101222_1_homing-pigeons-eggs-miami-dade-man,,,,,,,,,,,,,,,,,,,,
7/2/2010,Birds,Hazrat Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh",Pakistan,,1000,Pakistani Airlines,Luggage,,,"Birds included Hill Mynahs (CITES II), Tricolored Munias, Chestnut Munias, and 35 Green Avadavats (CITES II) (20 had died). Flight PK-267",TRAFFIC Bulletin 1997 - 2016; http://www.thedailystar.net/news-detail-145157,,,,,,,,,,,,,,,,,,,,
8/20/2010,Bobwhite Quail,Perth Airport,"Perth, Australia",,,"Perth, Australia",,7,,Airfreight,,,Birds had been ordered by a poultry keeper in Adelaide,http://www.abc.net.au/news/2010-08-20/birds-seized-at-airport/951570,http://www.abc.net.au/news/image/951578-3x2-340x227.jpg,,,,,,,,,,,,,,,,,,,
08/11/2010,Parrot eggs,Zurich Airport,"Zurich, Switzerland","Sao Paulo, Brazil",,"Zurich, Switzerland",,25,,Passenger Clothing/Items,,,"Investigation began with this seizure; the Swiss Federal Customs Administration conducted an investigation which revealead that the man had already illegally introduced more than 150 eggs of parrots and pheasants in Indonesia, Thailand and Meixco; origin of eggs not established; man was a bird dealer who had ""a very good network internationally""; he had 100s of birds, including the extremely rare and endangered",http://www.leprogres.fr/france-monde/2013/10/17/suisse-demantelement-d-un-reseau-de-contrebande-d-oeufs-de-perroquets ; https://cites.org/fb/2013/wco_illicit_trade_report_2012.pdf,,,,,,,,,,,,,,,,,,,,
9/22/2010,Toucans,Belgrade Airport,"Belgrade, Serbia",,UAE,,,22,,Unknown,,,"8 Black-necked Aracari, 8 Channel-billed Toucans, and six Red-billed Toucans (all CITES II). Didn't have CITES permits",TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
9/28/2010,Grey Parrots,Kavumu Airport,"Bukavu, Congo","Bukavu, Congo",,Singapore,,523,,Airfreight,,,Grey Parrots (CITES II) 29 Parrots died.  ,https://wildlifenews.co.uk/2010/09/democratic-republic-congo-begins-wild-parrot-trade-crackdown/,,,cannot verify,,,,,,,,,,,,,,,,,
9/28/2010,Flamingos; Cranes; Rose-ringed parrots,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,"Muscat, Oman",,139,,Airfreight,,Fake paperwork,"17 flamingos, 2 cranes, 120 rose-ringed parrots found in three cages bound for Muscat, Oman. The passenger accompanying the birds is allegedly assisted frequently in smuggling birds by the Sindh Wildlife Department.",https://exitstageright.wordpress.com/2010/09/29/endangered-birds-seized-at-airport/,,,,,,,,,,,,,,,,,,,,
10/5/2010,Gyrfalcons; Merlins,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,"Dubai, UAE",,6,,Luggage,,,"Gyrfalcons (CITES I) were packed in two sports bags, surrounded by bottles of honey. The birds were bound and hooded. One Russian woman was arrested",http://www.interfax.ru/russia/158600 ; http://www.mk.ru/incident/2010/10/06/534797-tamozhenniki-lishili-sheyhov-sokolov-dlya-ohotyi.html,http://www.mk.ru/upload/iblock_mk/475/f0/b2/71/DETAIL_PICTURE_534797.jpg,,,,,,,,,,,,,,,,,,,
