Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
8/29/2012,Bird eggs,Chatrapati Shivaji Airport,"Mumbai, India","Bangkok, Thailand",,,,11,Thai Airways,Passenger Clothing/Items,Airport security,Concealed in underwear,"Air Intelligence Unit of Mumbai Customs officials frisked three men in Mumbai and found that one was wearing two pairs of underwear. He had stashed 10 turtles in between the layers of underwear. Some of the turtles were star turtles. Officials also found that all three were also carrying two Persian cats (six total), ""three Tarantula spiders (known to be extremely poisonous), 11 eggs of unknown birds, and pigeon and fish foods from the trio's bags"". They were fined Rs. 1.85 lakh and ""sent back"". Faizan Khan, who was caught with the turtles, allegedly told police he paid between Rs5,000 and Rs10,000 per pair for the turtles. Khan has a shop in Musafir Khana, Mumbai where he sells rare wildlife. Sheikh Naushad Musa planned to sell the Persian cats for Rs50,000. Musa allegedly purchased them in Bangkok for Rs20,000 each. Musa has a farm in Pune where he trades rare species. Khan, Musa, and Sheikh Nadir Ahmed are all Indian nationals. Customs officials reported that Ahmed was paid Rs10,000 and was given free tickets by Musa for his help. Musa and Khan apparently traveled to Bankok three times in 2012.",Omega 12; http://www.hindustantimes.com/India-news/Mumbai/Man-caught-with-10-turtles-in-underwear-at-city-airport/Article1-924736.aspx; http://www.hindustantimes.com/mumbai/man-caught-with-10-turtles-in-underwear-at-city-airport/story-KWKQMOWnpooBSw7KXczZWM.html; http://www.hindustantimes.com/mumbai/smugglers-of-turtles-hoped-for-big-profits/story-kbs1D5fN0hbjgB54JloOuO.html,,,,,,,,,,,,,,,,,,,,
9/??/2012,Falcons,Cairo Airport,"Cairo, Egypt",,,,,17,,Unknown,,,The falcons were endangered. (Arabic could be helpful),http://www.egyptindependent.com/news/egypt-remains-hot-spot-illegal-chimp-and-ivory-trade,,,,,,,,,,,,,,,,,,,,
9/??/2012,Yellow-Collared Lovebirds,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,3,,Unknown,,,Yellow-Collared Lovebird (CITES II),https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
9/??/2012,Java Sparrows,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,58,,Unknown,,,Java Sparrow (CITES II),https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
9/3/2012,Chesnut-bellied Seed finches,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"New York, USA",,,,Passenger Clothing/Items,,,One arrest and conviction. ,https://webcache.googleusercontent.com/search?q=cache:7s0LCM86DwsJ:www.guyanatimesinternational.com/%3Fp%3D19441+&cd=43&hl=en&ct=clnk&gl=us,,,cannot verify source,,,,,,,,,,,,,,,,,
10/16/2012,Gyrfalcons; Goshawks,Ugolny Airport,"Anadyr, Russia","Anadyr, Russia",,"Moscow, Russia",,4,,Luggage,,,"Gyrfalcons (CITES I), Northern Goshawk (CITES II) were hooded and one arrest of a Russian citizen was made.",http://ria.ru/eco/20121016/902907168.html,,,,,,,,,,,,,,,,,,,,
10/17/2012,Hummingbirds; Jays; Hooded red siskins; Cardinals; Saffron Finches; Parakeets,Barajas Airport,"Madrid, Spain","Caracas, Venezuela",,"Madrid, Spain",,85,Air Europa,Luggage,,,"The birds were contained in specially constructed individual cells in a backpack with airholes and food. Only 45 survived the trip, of which 22 survived repatriation to Venezuela. A spanish national transported the birds but evaded capture.  UX071 flight Air Europa",http://www.audubonvenezuela.org/18-noticias/105-los-traficantes-salvajes-del-cardenalito.html,,,,,,,,,,,,,,,,,,,,
10/20/2012,Cuban Bullfinches,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,16,,Passenger Clothing/Items,,,Birds were found in pockets sewn into the pants the suspect was wearing and in a plastic cylinder in a pants pocket. One arrest,http://www.birdchannel.com/media/the-potential-risks-and-rewards-for-cubas-birds-of-reestablishing-ties-with-the-united-states.aspx.pdf,,,,,,,,,,,,,,,,,,,,
11/4/2012,Falcons; Birds,Faisalabad Airport,"Faisalabad, Pakistan","Faisalabad, Pakistan",,,,300,,Unknown,,,119 Falcons. The birds were sold to a UAE-royal prince and then discovered after a tip to local authorities. 11 Arrests. ,http://tribune.com.pk/story/461758/smuggling-300-rare-birds-set-free-smugglers-fined/,,,,,,,,,,,,,,,,,,,,
11/25/2012,Falcons,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,Bahrain,,7,,Unknown,,,The birds were bound for a Bahraini dignitary. The Bahraini smuggler attempted to smuggle the birds out using re-export permits.,https://webcache.googleusercontent.com/search?q=cache:J-L9WFFWGvYJ:thepeninsulaqatar.com/news/pakistanafghanistan/215575/seven-rare-falcons-from-pakistan-saved-from-smugglers-+&cd=58&hl=en&ct=clnk&gl=us,,,cannot verify source,,,,,,,,,,,,,,,,,
11/26/2012,west bluebirds; Bullfinches,Schiphol Airport,"Amsterdam, Netherlands",Mexico,,,,42,,Luggage,,in small boxes hidden in his suitcase,"Belgian, aged 49, was arrested at the airport; birds estimated to be worth 500 euros each (as of 2012). 24 west bluebirds and 18 bullfinches",http://www.sudinfo.be/593698/article/actualite/faits-divers/2012-11-16/un-belge-arrete-a-l%E2%80%99aeroport-d%E2%80%99amsterdam-avec-42-oiseaux-rares,http://si.rosselcdn.net/sites/default/files/imagecache/pagallery_450x300/2004238599_B9735792Z.1_20121116175302_000_GQPC25PA.1-0.jpg,,,,,,,,,,,,,,,,,,,
12/??/2012,Falcon,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
12/??/2012,Falcon,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
12/??/2012,Gyrfalcons,Vladivostok Airport,"Vladivostok, Russia","Petropavlovsk Kamchatskiy, Russia",,"Vladivostok, Russia",,8,,Luggage,,,"Gyrfalcons (CITES I), one arrest of a Russian national",http://ria.ru/eco/20130208/921852769.html,,,,,,,,,,,,,,,,,,,,
12/??/2012,Gyrfalcons,Vladivostok Airport,"Vladivostok, Russia","Novosibirsk, Russia",,"Vladivostok, Russia",,6,,Luggage,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2013,Hornbill beaks,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Hong Kong, China",,248,,Luggage,,,Four chinese suspects arrested. Also carrying 189 pangolin scales,http://newsroom.wcs.org/News-Releases/articleType/ArticleView/articleId/6830/Traders-of-One-of-Indonesias-Most-Hunted-Bird-Species-Arrested.aspx,,,,,,,,,,,,,,,,,,,,
1/3/2013,Birds; African grey parrots; budgerigaries; rainbow lorikeets; golden mantled rosellas; green parakeets,Shahjalal Airport,"Dhaka, Bangladesh",South Africa,,"Dhaka, Bangladesh",,160,Qatar Airways,Luggage,,,"30 African Grey Parrots, 100 Budgerigar, 10 rainbow Lorikeets, 10 golden mantled rosella, 10 green parakeets. 10 marmoset monkeys were also recovered. The animals were transported in 9 cages, two for monkeys, 7 for the birds. One Bangladeshi customs officer arrested, one suspect escaped when the pair were confronted as they attempted to leave the airport in a van.",http://www.thedailystar.net/news-detail-263895,,,,,,,,,,,,,,,,,,,,
2/27/2013,birds,Charles de Gaulle Airport,"Paris, France","Mexico City, Mexico","Paris, France","Munich, Germany",,62,,Luggage,,,Birds mistreated by veterinarians on the ground. Came from Mexico City,http://www.centpourcentnaturel.fr/post/2013/03/13/Les-oiseaux-meurent-a-Roissy,,,,,,,,,,,,,,,,,,,,
3/19/2013,Parrots,Suvarnabhumi Airport,"Bangkok, Thailand",,"Bangkok, Thailand",,,15,,Unknown,,,"4 Parrots, 2 other, 6 rodents, 3 kangaroos",https://cites.org/sites/default/files/reports/13-14Thailand.pdf,,,,,,,,,,,,,,,,,,,,
4/1/2013,Patridges,Manchester Airport,"Manchester, United Kingdom",Pakistan,,"Manchester, United Kingdom",,17,,Luggage,,,"13 birds were dead on discovery, and the remaining 4 were put down. The birds were placed in small wooden crates and placed in three suitcases.",http://www.telegraph.co.uk/news/uknews/crime/9964811/Man-caught-smuggling-partridges-through-airport-in-suitcases.html,,,,,,,,,,,,,,,,,,,,
5/4/2013,Grey Francolins,Leeds Bradford Airport,"Leeds, United Kingdom","Islamabad, Pakistan",,"Leeds, United Kingdom",,4,,Luggage,X-ray,,The birds were held in individual wooden cages in suitcases. These birds are often bred for fighting.,https://www.gov.uk/government/news/birds-smuggled-in-suitcases-found-at-leeds-bradford-airport,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/11152/s300_suitcase_smuggled_birds_960.jpg,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/11153/suitcase_smuggled_bird_960.jpg,,,,,,,,,,,,,,,,,,
5/11/2013,Grey Francolins,Leeds Bradford Airport,"Leeds, United Kingdom","Islamabad, Pakistan",,"Leeds, United Kingdom",,5,,Luggage,X-ray,,The birds were held in individual wooden cages in suitcases. These birds are often bred for fighting.,https://www.gov.uk/government/news/birds-smuggled-in-suitcases-found-at-leeds-bradford-airport,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/11154/xray_smuggled_birds_960.jpg,,,,,,,,,,,,,,,,,,,
6/11/2013,Parrots; Birds of Paradise,Vienna Airport,"Vienna, Austria","Denpasar, Indonesia",,"Vienna, Austria",,60,,Unknown,Detector Dog,,"Birds-of-paradise (CITES II). One bird was infected with H5N1 virus. 39 birds were dead on arrival, remaining 21 were put down. 2 Czech smugglers were detained but released.",http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf; http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf,,,,,,,,,,,,,,,,,,,,
6/14/2013,Wattled Jacanas; Silver Teals; Nacunda Nighthawks; Whistling Herons,Linate Airport,"Milan, Italy",Argentina,"Milan, Italy",Malta,,180,,Luggage,,,Three Maltese nationals were detained after the dead birds were discovered.,http://www.robindesbois.org/wp-content/uploads/ON-THE-TRAIL-1.pdf,,,,,,,,,,,,,,,,,,,,
11/24/2013,Zebra Finches,Ben Gurion Airport,"Tel Aviv, Israel",Netherlands,,"Tel Aviv, Israel",,40,,Luggage,,,The birds were held in the susect's backpack. One arrest.,http://www.israelnationalnews.com/News/News.aspx/174407,http://www.israelnationalnews.com/static/pictures/459/459849.jpg,,,,,,,,,,,,,,,,,,,
11/28/2013,Galahs; Parrots,Darwin Airport,"Darwin, Australia","Darwin, Australia",,Indonesia,,7,Indonesian Army,Luggage,,,5 Galahs (CITES II) and 2 parrots. The birds were found on board an indonesian army aircraft in a bag as the plane refueled. No charges against the perpetrators.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,,
12/10/2013,Thick-billed seed finches; Chestnut-bellied seed finches; Picolets,Schiphol Airport,"Amsterdam, Netherlands",Suriname,,"Amsterdam, Netherlands",,6,,Luggage,,,The birds were wrapped up as christmas presents.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,,
1/8/2014,parrots,Kindu airport,"Kindu, DR Congo","Kindu, DR Congo",,"Bukavu, DR Congo",,27,African Aviation Company (CAA); cargo plane,Airfreight,,,The birds were believed to belong to Egyptian peacekeepers in Bukavu; Congolese authorities suspect peacekeepers have resorted to fraudulet means to acquire and transport these animals; authorities believe the attempt to use UN flags was a means to mark the packages as diplomatic or official order to escape certain controls. Allegations that each solider (27 rotating one) in Bukavu on the MONUSCO mission in Kindu each individually purchased a parrot; CAA officials allegedly complicit and the peacekeepers also received the necessary approvals from the Congolese Control Office (OCC) to acquire the parrots,http://www.radiookapi.net/actualite/2014/01/10/rdc-saisie-de-27-perroquets-achetes-par-les-casques-bleus-de-la-monusco-kindu,,,,,,,,,,,,,,,,,,,,
1/20/2014,Chestnut-bellied seed finches,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,,Carribean Airlines,Unknown,,,Birds were stuffed in hair curlers. The smuggler was discovered when two of the wrapped birds fell on the tarmac as he assisted another passenger to board the plane.,http://newssourcegy.com/news/man-caught-trying-to-smuggle-singing-birds-through-airport/,http://newssourcegy.com/wp-content/themes/main/timthumb.php?src=http%3A%2F%2Fnewssourcegy.com%2Fwp-content%2Fuploads%2F2014%2F01%2F7373.jpg&q=90&w=795&zc=1,,,,,,,,,,,,,,,,,,,
1/27/2014,Bird eggs,Phoenix Sky Harbor Airport,"Phoenix, USA","Nairobi, Kenya","London, United Kingdom","Phoenix, USA",,103,,Luggage,,,Eggs were seized and destroyed under domestic regulations that prevent importation of poultry products.,https://www.cbp.gov/newsroom/local-media-release/2014-01-27-000000/cbp-agriculture-specialists-seize-bird-eggs,,,,,,,,,,,,,,,,,,,,
1/28/2014,Saffron Finches,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,"Joao Pessoa, Brazil",,390,,Luggage,,,"One arrest. The birds were packed into three suitcases in cags without food, water or ventilation. ",http://amantesdocoleiro.com.br/noticias.php,,,cannot verify source,,,,,,,,,,,,,,,,,
2/??/2014,Finches,Sao Paulo Airport,"Sao Paulo, Brazil",Peru,,"Sao Paulo, Brazil",,50,,Luggage,,,One arrest. All the birds were dead upon discovery. They were being smuggled for birdfighting,http://www.treehugger.com/natural-sciences/bird-smugglers-caught-invasive-species-used-finch-fighting.html,http://media.treehugger.com/assets/images/2014/01/brazilian_canary_top.jpg.662x0_q70_crop-scale.jpg,,,,,,,,,,,,,,,,,,,
2/24/2014,Parrots,Ben Gurion Airport,"Tel Aviv, Israel",Belgium,,"Tel Aviv, Israel",,34,,Luggage,,,Two arrests. Parrots returned to Belgium.,http://www.timesofisrael.com/34-birds-found-in-luggage-at-airport/,,,,,,,,,,,,,,,,,,,,
4/27/2014,Breakfast sporophiles singers,Camaguey Airport,"Camaguey, Cuba","Camaguey, Cuba",,USA,,66,,Passenger Clothing/Items,"Attracted attention of customs with ""the very wide trouser legs""",,"Attempt to export to USA; USA resident; the little singer sporophile is a species of sparrow with a yellow throat, native to Cuba, protected but not endangered",http://www.20minutes.fr/insolite/1388745-20140529-voulait-prendre-avion-66-oiseaux-froc,,,,,,,,,,,,,,,,,,,,
5/2/2014,Tropical Birds,Simon Bolivar Airport,"Caracas, Venezuela","Caracas, Venezuela",,France,,103,,Luggage,,,German citizen arrested in connection with the seizure. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,,
4/10/2014,Melodious Laughing Thrushes; White rumped shamas,Changi Airport,Singapore,"Ho Chi Minh City, Vietnam",,Singapore,,9,,Luggage,,,"Melodious laughing Thrushes(CITES II), 3 white rumped shamas were wrapped in aluminum foil and put in black trash bags. All the birds died en route or within a few days of interception. One arrest. The birds were purchased in HCMC. ",http://www.straitstimes.com/singapore/courts-crime/terminally-ill-man-jailed-9-weeks-for-smuggling-birds,,,,,,,,,,,,,,,,,,,,
5/15/2014,Parrots,Peshawar Airport,"Peshawar, Pakistan","Karachi, Pakistan",,"Peshawar, Pakistan",,32,,Unknown,,,Two arrests. parrots were Grey parrots and Eclectus parrots.,http://tribune.com.pk/story/708924/long-day-for-animals-parrots-seized-at-airport-not-allowed-to-take-flight/,,,,,,,,,,,,,,,,,,,,
5/16/2014,Humming birds; Finches,Camaguey Airport,"Camaguey, Cuba","Camaguey, Cuba",,USA,,66,,Passenger Clothing/Items,Visible bulge,Pouches sewn into pants,A customs officer noticed a strange bulge in the smuggler's pants and a strange gait. 2 of the 66 birds were dead and several had their beaks sealed shut.,TRAFFIC Bulletin 1997 - 2016; http://www.dailymail.co.uk/news/article-2647135/Budgie-smuggling-Man-arrested-trying-enter-Cuba-66-tiny-birds-sewn-trousers-customs-officer-spots-bulge.html,,,,,,,,,,,,,,,,,,,,
5/20/2014,Bird eggs,Sydney Airport,"Sydney, Australia",,"Dubai, UAE","Sydney, Australia",,16,,Passenger Clothing/Items,,,One Czech national arrested.,http://www.smh.com.au/nsw/passenger-found-with-16-birds-eggs-in-pants-customs-20140521-38nsz.html,http://www.smh.com.au/content/dam/images/3/8/n/q/u/image.related.articleLeadwide.620x349.38nsz.png/1400637506687.jpg,,,,,,,,,,,,,,,,,,,
6/2/2014,Birds,Simon Bolivar Airport,"Caracas, Venezuela",,,"Munich, Germany",,103,,Unknown,,,,http://www.entornointeligente.com/articulo/2609760/Incautadas-103-aves-que-intentaban-sacar-del-Aeropuerto-de-Maiquetia-02062014,http://www.entornointeligente.com/images-noticias/2014/06/Incautadas-103-aves-que-intentaban-sacar-del-Aeropuerto-de-Maiquetia_46651.jpg,,,,,,,,,,,,,,,,,,,
6/9/2014,Birds-of-paradise,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Paris, France",,16,,Luggage,,,Birds-of-paradies (CITES II) were being transported by a German smuggler. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,,
6/10/2014,Birds,Guangzhou Baiyun Airport,"Guangzhou, China","Guangzhou, China",,Singapore,,2,,Passenger Clothing/Items,Visible bulge,,Customs officials noticed a bulge in a Russian passenger's pants and discovered the two birds sewn into the lining of his pants. One arrest.,https://newsru.com/crime/10jun2014/rusmuggle2birdknr.html ; http://www.dailymail.co.uk/news/article-2652915/I-trying-protect-smog-What-Russian-passenger-said-Chinese-customs-arrested-trying-smuggle-two-exotic-birds-country-trousers.html,http://i.dailymail.co.uk/i/pix/2014/06/09/article-2652915-1E9B11A300000578-445_634x358.jpg,,,,,,,,,,,,,,,,,,,
7/??/2014,Parrots,Heathrow Airport,"London, United Kingdom",Turkey,,"London, United Kingdom",,1,,Luggage,,,"This was a pet parrot that had traveled with a family from the UK to Turkey, then back after a number of years, with potentially bad CITES documentation accidentally",http://www.bournemouthecho.co.uk/news/11562330.___Give_us_our_parrot_back________couple___s_plea_after_pet_was_seized_by_Border_Force_officers_three_months_ago/,,,,,,,,,,,,,,,,,,,,
7/13/2014,White cockatoos,Sao Paulo Airport,"Sao Paulo, Brazil",Portugal,,"Sao Paulo, Brazil",,2,,Luggage,X-ray,,"White Cockatoo (CITES II). One arrest. Brought from Lisbon. The birds were packed in a small plastic container, in the luggage of a Brazilian national.",http://amantesdocoleiro.com.br/noticias.php,,,cannot verify source,,,,,,,,,,,,,,,,,
9/8/2014,Parrots; Hill Mynahs; Spotted Doves,Tan Son Nhat Airport,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam","Hanoi, Vietnam",,870,,Airfreight,,,"470 Parrots (CITES II), 400 spotted doves. Suspects escaped",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,,
10/??/2014,Saker Falcons,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,Armenia,,5,,Luggage,,,Saker Falcons (CITES II). One arrest. Birds were bound and blindfolded in a carry-on sports bag.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_7.pdf,,,,,,,,,,,,,,,,,,,,
10/10/2014,Birds,Toronto Pearson Airport,"Toronto, Canada",,,"Toronto, Canada",,19,,Passenger Clothing/Items,,,Birds were stuffed into hair curling tubes which were stiched into hidden pockets inside the jacket. One arrest and conviction of a Canadian national.,http://ontariospca.ca/media-centre/media-releases/977-brampton-man-attempts-to-conceal-19-songbirds-during-visit-to-toronto-pearson-international-airport.html,,,,,,,,,,,,,,,,,,,,
10/13/2014,Keel-billed toucans,Hermosillo Airport,"Hermosillo, Mexico","Toluca, Mexico",,"Hermosillo, Mexico",,2,,Airfreight,,,Keel-billed toucans(CITES II) were sent by a pet shop with out of date CITES paperwork. Both birds died in custody.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_7.pdf,,,,,,,,,,,,,,,,,,,,
11/12/2014,White-rumped shamas; Red-whiskered Bulbus; Magpie Robins,Changi Airport,Singapore,"Ho Chi Minh City, Vietnam",,Singapore,,12,,Luggage,,,"Arrived on flight from HCMC. Individually contained in pvc tubes without food and waater. Eight of the birds died. One arrest. 9 White-rumped shama, 2 red whiskered bublbul, 1 magpie robin",http://www.ava.gov.sg/docs/default-source/press-releases/2015/AVA-ICA-Joint-Media-Release_Two-cases-of-animal-smuggling.pdf,,,,,,,,,,,,,,,,,,,,
11/12/2014,Saker Falcons; Peregrinne Falcons,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,"Dubai, UAE",,5,Emirates Airlines,Airfreight,,,"3 Saker falcons (CITES II), 2 peregrine falcons (CITES I) were found in 2 wooden boxes. Birds were in poor condition.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_7.pdf,,,,,,,,,,,,,,,,,,,,
12/15/2014,Blue Chaffinches,Tenerife South Airport,"Tenerife, Canary Islands","Tenerife, Canary Islands",,"Milan, Italy",,21,,Luggage,,,,http://www.elperiodico.com/es/noticias/medio-ambiente/detenido-aeropuerto-canarias-con-pinzones-maleta-3774298,,,,,,,,,,,,,,,,,,,,
1/14/2015,European Goldfinches,Bremen Airport,"Bremen, Germany","Bremen, Germany",,,,33,,Luggage,,,16 males and 17 females were found in the sports bag of a male Turkish traveler in a cage. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,,
3/??/2015,Toucans,Jorge Chavez Airport,"Lima, Peru","Lima, Peru",,,,6,,Luggage,,,The toucans were bound for another continent.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,,
4/20/2015,Chinese Hwameis; Asian Songbirds,Los Angeles Airport,"Los Angeles, USA",,,"Los Angeles, USA",,27,,Luggage,,,11 Chinese Hwamei (CITES II). Birds were found under tinfoil and clothing in the American passenger's luggage. One arrest and conviction.,http://www.ocregister.com/articles/birds-710461-guilty-smuggling.html,,,,,,,,,,,,,,,,,,,,
6/19/2015,Bird Eggs,Miami Airport,"Miami, USA",Brazil,,"Miami, USA",,5,,Airfreight,,,"Disguised in a box labeled as ""handicraft gifts""",https://www.cbp.gov/newsroom/local-media-release/2015-06-19-000000/cbp-agriculture-specialists-miami-international,,,,,,,,,,,,,,,,,,,,
7/2/2015,Pigeons; Finches,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,3,,Luggage,,,The three birds were wrapped in tape and stuffed in a plastic bottle. The birds were seized in violation of teh Lacey act and Migratory Bird treaty,https://www.cbp.gov/newsroom/local-media-release/2015-07-10-000000/cbp-agriculture-specialists-miami-seize-live-birds,https://www.cbp.gov/sites/default/files/u666/LiveBirdsdiscoveredatMIA_0.png,,,,,,,,,,,,,,,,,,,
9/10/2015,Birds,Simon Bolivar Airport,"Maiquetia, Venezuela","Maiquetia, Venezuela","Madrid, Spain","Rome, Italy",,57,Iberian Airlines,Luggage,,,Flight IB 6674,http://vargas.tsj.gob.ve/DECISIONES/2015/NOVIEMBRE/127-19-WP02-R-2015-000651-WP02-R-2015-000651.HTML,,,,,,,,,,,,,,,,,,,,
9/14/2015,Saker Falcons,Shymkent Airport,"Shymkent, Kazakhstan","Shymkent, Kazakhstan",,"Dubai, UAE",,24,,Luggage,,,Saker Falcons (CITES II) were found in two suitcases.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,,
9/28/2015,Golden blue macaws; Yellow Crested cockatoos; White-crested cockatoos,General Lucio Blanco Airport,"Reynosa, Mexico","Reynosa, Mexico",,"Mexico City, Mexico",,10,,Airfreight,,,Suspicious airline staff tipped off the Profepa to discover the shipment. Birds were contained in small boxes of wood and wire.,http://www.eluniversal.com.mx/articulo/estados/2015/09/28/interceptan-contrabando-de-10-aves-silvestres-en-reynosa,Other shipment indicated,,,,,,,,,,,,,,,,,,,
10/22/2015,Albino Perigrine Falcon Eggs,Sao Paulo Airport,"Sao Paulo, Brazil",Chile,"Sao Paulo, Brazil","Dubai, UAE",,4,,Unknown,,,"Peregrine Falcon (CITES I)-These are especially rare as the eggs were albino, only found in Chile due to a genetic mutation. Discovered in an incubator with the suspect. One of the four eggs eventually hatched and the chick was reintegrated into a nest in Chile. One arrest--Jeffrey Lendrum, previously arrested and sentenced in UK for bird trafficking. ",https://www.theguardian.com/environment/2016/jan/28/rare-falcon-egg-seized-from-smuggler-hatches-and-is-returned-to-wild-in-chile ; http://www.abc.net.au/news/2016-01-29/falcon-peregrine-chick-survives-trafficking-ordeal/7123444 ; TRAFFIC Bulletin,,,,,,,,,,,,,,,,,,,,
10/31/2015,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"New York, USA",,29,Caribbean Airlines,Luggage,,,"One arrest of an american national, fined $75,000. The birds were hidden in hair curlers in the passenger's handbag. The flight was bound for JFK airport. Flight BW526",http://www.guyanatimesgy.com/2015/11/03/american-bird-smuggler-nabbed-fined/,,,,,,,,,,,,,,,,,,,,
11/28/2015,Canaries,Sao Paulo Airport,"Sao Paulo, Brazil",Italy,,"Sao Paulo, Brazil",,97,,Luggage,,,One arrest of an Argentine national. ,http://www.clickguarulhos.com.br/drogas-e-passaros-sao-apreendidos-no-aeroporto-de-cumbica/,,,,,,,,,,,,,,,,,,,,
11/??/2015,Parrots,Sao Paulo Airport,"Sao Paulo, Brazil","Sao Paulo, Brazil",,,,200,,Unknown,,,Several of the birds were injured.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,,
1/9/2016,Birds,Miami Airport,"Miami, USA","Havana, Cuba",,"Miami, USA",,9,,Passenger Clothing/Items,,,"Florida man arrested. 6 Birds in a fanny pack, three in his groin area.",https://www.cbp.gov/newsroom/local-media-release/2016-01-26-000000/cbp-officers-miami-international-airport-thwart,https://www.cbp.gov/sites/default/files/u666/MiamiInternationalAirportBirdSmugglers.jpg,,,,,,,,,,,,,,,,,,,
1/17/2016,Falcons,Jinnah Airport,"Karachi, Pakistan","Dubai, UAE",,"Karachi, Pakistan",,5,,Unknown,,,"One man fined 50,000 Rs",http://www.dawn.com/news/1234300,,,,,,,,,,,,,,,,,,,,
1/28/2016,"Eagle Owls, scops owls",Manila Ninoy Aquino Airport,"Manila, Philippines","Manila, Philippines",,Japan,,6,,Airfreight,,,"Also in the consignment were 11 tarsiers, 11 snakes, and 11 monitor lizards. The shipment was found via a tip earlier in the month that a shipment was incoming.",http://www.customstoday.com.pk/bid-to-smuggle-47-rare-animals-birds-to-japan-foiled-at-philippine-airport/,,,,,,,,,,,,,,,,,,,,
2/18/2016,Birds,Maastricht Aachen Airport,"Beek, Netherlands",,,Iraq,,142,,Unknown,Lack of authorization,,"50 New Zealand Kakariki, 20 rosella parrots, 60 red-rumped Australian parakeets, 12 red goldfinches (speciment of Venezuela and Colombia); each bird estiamted to be worth about 4200 euros; Belgian national had already tried to pass the birds earlier in the week",http://www.7sur7.be/7s7/fr/2668/Especes-Menacees/article/detail/2622217/2016/02/19/Un-Belge-verbalise-pour-avoir-tente-d-envoyer-des-oiseaux-exotiques-en-Irak.dhtml,,,,,,,,,,,,,,,,,,,,
